Day,Order sumary,,, Totals 
2022-02-13,Item,Quantity,Total," $1,683.75 "
,501,25,,
,502,25,,
,503,25,,
,504,20,,
,505,5,,
,506,10,,
,507,25,,
,508,10,,
,509,45,,
,510,25,,
,511,10,,
,512,5,,
,513,100,,
,514,30,,
,515,20,,
,516,10,,
,517,30,,
,518,50,,
,519,25,,
,,,,
2022-02-14,Item,Quantity,Total," $1,314.25 "
,501,20,,
,502,25,,
,503,22,,
,504,20,,
,505,5,,
,506,0,,
,507,25,,
,508,10,,
,509,45,,
,510,25,,
,511,10,,
,512,5,,
,513,65,,
,514,30,,
,515,20,,
,516,10,,
,517,30,,
,518,50,,
,519,25,,
,,,,
2022-02-15,Item,Quantity,Total," $1,508.75 "
,501,27,,
,502,30,,
,503,30,,
,504,20,,
,505,5,,
,506,2,,
,507,25,,
,508,12,,
,509,45,,
,510,25,,
,511,6,,
,512,5,,
,513,65,,
,514,50,,
,515,20,,
,516,10,,
,517,30,,
,518,50,,
,519,25,,
,,,,
2022-02-16,Item,Quantity,Total," $1,818.30 "
,501,36,,
,502,36,,
,503,36,,
,504,24,,
,505,6,,
,506,2,,
,507,30,,
,508,14,,
,509,54,,
,510,30,,
,511,7,,
,512,6,,
,513,78,,
,514,60,,
,515,24,,
,516,12,,
,517,36,,
,518,60,,
,519,30,,
,,,,
2022-02-17,Item,Quantity,Total," $2,319.10 "
,501,46,,
,502,46,,
,503,46,,
,504,31,,
,505,7,,
,506,2,,
,507,39,,
,508,18,,
,509,70,,
,510,39,,
,511,9,,
,512,7,,
,513,101,,
,514,78,,
,515,31,,
,516,15,,
,517,46,,
,518,78,,
,519,39,,
,,,,
2022-02-18,Item,Quantity,Total," $2,753.10 "
,501,46,,
,502,46,,
,503,46,,
,504,31,,
,505,17,,
,506,14,,
,507,39,,
,508,18,,
,509,70,,
,510,39,,
,511,9,,
,512,7,,
,513,101,,
,514,78,,
,515,31,,
,516,15,,
,517,46,,
,518,78,,
,519,39,,
,,,,
2022-02-19,Item,Quantity,Total," $3,808.10 "
,501,64,,
,502,64,,
,503,64,,
,504,43,,
,505,23,,
,506,19,,
,507,54,,
,508,25,,
,509,98,,
,510,54,,
,511,12,,
,512,9,,
,513,141,,
,514,109,,
,515,43,,
,516,21,,
,517,64,,
,518,109,,
,519,54,,
