,Initial order ,,,,Date,2/12/2022,,,,,,
,Description,SKU,Quantity,delivered,sold by,delivered by,quantity Multiplyer, price , Extended ,category,Invoice line #,Detailed description
Food,,,,,,,,,,,,
,Chicken breast,c1001,55,55,lb,case,20,$3.90 ,"$4,290.00 ",Cold,1,"raw unbreaded chicken breast, fresh, 20 lb cases 6 oz breast, cut to 1.5 oz per strip"
,flour,d2001,16,16,each,bag,1,$19.50 ,$312.00 ,Dry,2,"AP flour, 50 lb sack"
,salt,d2002,5,5,each,bag,1,$25.95 ,$129.75 ,Dry,3,"bulk sea salt, 50 lb bag"
,black pepper,d2003,8,8,each,container,1,$30.00 ,$240.00 ,Dry,4,5 lb plastic jar
,Fries,f3002,45,45,case,case,1,$30.90 ,"$1,390.50 ",Frozen,5,"30 lb case,  oz per serving"
,Thick bread,d2004,27,27,Case,case,1,$37.99 ,"$1,025.73 ",Dry,6,170 slices per case.
,Potato Salad,c1002,33,33,each,each,1,$17.01 ,$561.33 ,Cold,7,"Spring Glen 5lb Dutch potato saled,"
,Liquid margarine,c1003,13,13,4/case,case,1,$57.81 ,$751.53 ,Cold,8,"Liquid margarine, 4/case"
,Garlic powder,d2005,8,8,each,each,1,$20.49 ,$163.92 ,Dry,9,Granulated garlic 5lb
,Ranch,c1004,28,28,each,each,1,$39.98 ,"$1,119.44 ",Cold,10,Ranch dressing 1 gallon
,Ketchup-Lg container,d2006,13,13,6/case,case,1,$29.99 ,$389.87 ,Dry,11,"Red Gold fancy ketchup Jug with pump, 6/case"
,Ketchup-packets,d2007,13,13,1000/case,case,1,$25.49 ,$331.37 ,Dry,12,"French's ketchup packets, 1000/case"
,Mayo,d2008,16,16,4gal/case,case,1,$89.99 ,"$1,439.84 ",Dry,13,"Hellmann's 1 gal Mayo, 5/case"
,Tea bags,d2009,13,13,24/case,case,1,$29.49 ,$383.37 ,Dry,14,"Lipton tea bags, 24/case"
,Sugar for tea,d2010,13,13,each,bag,1,$21.99 ,$285.87 ,Dry,15,"sugar, 25 lb bag"
