Day,Order sumary,,, Totals 
2022-03-06,Item,Quantity,Total,"$1,683.75 "
,501,32,,
,502,16,,
,503,27,,
,504,23,,
,505,1,,
,506,14,,
,507,20,,
,508,7,,
,509,41,,
,510,30,,
,511,6,,
,512,8,,
,513,90,,
,514,40,,
,515,22,,
,516,15,,
,517,24,,
,518,40,,
,519,19,,
,,,,
2022-03-07,Item,Quantity,Total,"$1,314.25 "
,501,27,,
,502,24,,
,503,20,,
,504,15,,
,505,11,,
,506,14,,
,507,27,,
,508,20,,
,509,28,,
,510,30,,
,511,16,,
,512,14,,
,513,62,,
,514,44,,
,515,28,,
,516,13,,
,517,35,,
,518,37,,
,519,17,,
,,,,
2022-03-08,Item,Quantity,Total,"$1,508.75 "
,501,18,,
,502,38,,
,503,28,,
,504,27,,
,505,0,,
,506,6,,
,507,19,,
,508,18,,
,509,37,,
,510,28,,
,511,5,,
,512,15,,
,513,63,,
,514,56,,
,515,17,,
,516,19,,
,517,27,,
,518,57,,
,519,22,,
,,,,
2022-03-09,Item,Quantity,Total,"$1,818.30 "
,501,38,,
,502,39,,
,503,27,,
,504,12,,
,505,11,,
,506,19,,
,507,47,,
,508,13,,
,509,70,,
,510,14,,
,511,5,,
,512,11,,
,513,47,,
,514,33,,
,515,39,,
,516,19,,
,517,30,,
,518,47,,
,519,28,,
,,,,
2022-03-10,Item,Quantity,Total,"$2,319.10 "
,501,55,,
,502,50,,
,503,60,,
,504,40,,
,505,15,,
,506,12,,
,507,49,,
,508,33,,
,509,88,,
,510,44,,
,511,17,,
,512,30,,
,513,120,,
,514,100,,
,515,44,,
,516,39,,
,517,60,,
,518,100,,
,519,69,,
,,,,
2022-03-11,Item,Quantity,Total,"$2,753.10 "
,501,35,,
,502,35,,
,503,35,,
,504,35,,
,505,22,,
,506,30,,
,507,32,,
,508,10,,
,509,64,,
,510,37,,
,511,2,,
,512,13,,
,513,66,,
,514,80,,
,515,34,,
,516,19,,
,517,20,,
,518,50,,
,519,36,,
,,,,
2022-03-12,Item,Quantity,Total,"$3,808.10 "
,501,90,,
,502,77,,
,503,87,,
,504,44,,
,505,40,,
,506,33,,
,507,75,,
,508,47,,
,509,134,,
,510,77,,
,511,14,,
,512,22,,
,513,166,,
,514,118,,
,515,68,,
,516,44,,
,517,89,,
,518,140,,
,519,80,,
