,Initial order ,,,,Date,2/12/2022,,,,,,
,Description,SKU,Quantity,delivered,sold by,delivered by,quantity Multiplyer, price , Extended ,category,Invoice line #,Detailed description
Food,,,,,,,,,,,,
,Chicken breast,c1001,45,45,lb,case,20,$3.90 ,"$3,510.00 ",Cold,1,"raw unbreaded chicken breast, fresh, 20 lb cases 6 oz breast, cut to 1.5 oz per strip"
,flour,d2001,12,12,each,bag,1,$19.50 ,$234.00 ,Dry,2,"AP flour, 50 lb sack"
,salt,d2002,3,3,each,bag,1,$25.95 ,$77.85 ,Dry,3,"bulk sea salt, 50 lb bag"
,black pepper,d2003,5,5,each,container,1,$30.00 ,$150.00 ,Dry,4,5 lb plastic jar
,Fries,f3002,40,40,case,case,1,$30.90 ,"$1,236.00 ",Frozen,5,"30 lb case,  oz per serving"
,Thick bread,d2004,21,21,Case,case,1,$37.99 ,$797.79 ,Dry,6,170 slices per case.
,Potato Salad,c1002,22,22,each,each,1,$17.01 ,$374.22 ,Cold,7,"Spring Glen 5lb Dutch potato saled,"
,Liquid margarine,c1003,9,9,4/case,case,1,$57.81 ,$520.29 ,Cold,8,"Liquid margarine, 4/case"
,Garlic powder,d2005,5,5,each,each,1,$20.49 ,$102.45 ,Dry,9,Granulated garlic 5lb
,Ranch,c1004,24,24,each,each,1,$39.98 ,$959.52 ,Cold,10,Ranch dressing 1 gallon
,Ketchup-Lg container,d2006,9,9,6/case,case,1,$29.99 ,$269.91 ,Dry,11,"Red Gold fancy ketchup Jug with pump, 6/case"
,Ketchup-packets,d2007,9,9,1000/case,case,1,$25.49 ,$229.41 ,Dry,12,"French's ketchup packets, 1000/case"
,Mayo,d2008,13,13,4gal/case,case,1,$89.99 ,"$1,169.87 ",Dry,13,"Hellmann's 1 gal Mayo, 5/case"
,Tea bags,d2009,9,9,24/case,case,1,$29.49 ,$265.41 ,Dry,14,"Lipton tea bags, 24/case"
,Sugar for tea,d2010,9,9,each,bag,1,$21.99 ,$197.91 ,Dry,15,"sugar, 25 lb bag"
