Day,Order sumary,,, Totals 
2022-02-27,Item,Quantity,Total,"$1,683.75 "
,501,22,,
,502,19,,
,503,23,,
,504,22,,
,505,8,,
,506,16,,
,507,18,,
,508,6,,
,509,50,,
,510,20,,
,511,14,,
,512,6,,
,513,112,,
,514,26,,
,515,27,,
,516,4,,
,517,21,,
,518,56,,
,519,30,,
,,,,
2022-02-28,Item,Quantity,Total,"$1,314.25 "
,501,30,,
,502,20,,
,503,30,,
,504,25,,
,505,13,,
,506,10,,
,507,19,,
,508,6,,
,509,30,,
,510,17,,
,511,9,,
,512,10,,
,513,47,,
,514,40,,
,515,29,,
,516,20,,
,517,25,,
,518,30,,
,519,30,,
,,,,
2022-03-01,Item,Quantity,Total,"$1,508.75 "
,501,17,,
,502,29,,
,503,40,,
,504,30,,
,505,1,,
,506,11,,
,507,40,,
,508,2,,
,509,30,,
,510,20,,
,511,11,,
,512,17,,
,513,78,,
,514,66,,
,515,29,,
,516,14,,
,517,40,,
,518,45,,
,519,32,,
,,,,
2022-03-02,Item,Quantity,Total,"$1,818.30 "
,501,50,,
,502,16,,
,503,19,,
,504,16,,
,505,18,,
,506,16,,
,507,44,,
,508,20,,
,509,64,,
,510,24,,
,511,2,,
,512,16,,
,513,59,,
,514,57,,
,515,36,,
,516,15,,
,517,40,,
,518,43,,
,519,18,,
,,,,
2022-03-03,Item,Quantity,Total,"$2,319.10 "
,501,60,,
,502,55,,
,503,70,,
,504,28,,
,505,17,,
,506,14,,
,507,50,,
,508,30,,
,509,96,,
,510,38,,
,511,20,,
,512,22,,
,513,108,,
,514,87,,
,515,50,,
,516,30,,
,517,43,,
,518,90,,
,519,47,,
,,,,
2022-03-04,Item,Quantity,Total,"$2,753.10 "
,501,40,,
,502,40,,
,503,40,,
,504,22,,
,505,17,,
,506,23,,
,507,40,,
,508,7,,
,509,64,,
,510,31,,
,511,19,,
,512,2,,
,513,89,,
,514,66,,
,515,45,,
,516,4,,
,517,27,,
,518,71,,
,519,53,,
,,,,
2022-03-05,Item,Quantity,Total,"$3,808.10 "
,501,83,,
,502,73,,
,503,80,,
,504,42,,
,505,35,,
,506,25,,
,507,68,,
,508,36,,
,509,123,,
,510,63,,
,511,23,,
,512,18,,
,513,173,,
,514,123,,
,515,53,,
,516,33,,
,517,81,,
,518,133,,
,519,69,,
